Farm_ID,Season,Region,Crop_Type,Farming_Practice,Rainfall_mm,Temperature_C,Humidity_pct,Soil_pH,Fertilizer_Usage_kg,Pesticide_Usage_kg,Irrigation_Water_m3,Yield_tons_per_ha,Production_Cost_USD,Revenue_USD
FARM_1017,Kharif (Monsoon),North Zone,Rice,Organic,756.5,30.2,73.7,6.05,108.4,6.4,4710.3,7.37,981.0,2555.95
FARM_1018,Rabi (Winter),Central Zone,Chickpea,Conventional,106.3,21.4,57.7,8.07,132.8,5.8,1496.7,7.13,765.21,2428.1
FARM_1019,Rabi (Winter),Central Zone,Mustard,Organic,132.5,19.4,47.4,6.7,118.2,7.2,4462.9,6.67,1034.86,2545.23
FARM_1020,Kharif (Monsoon),East Zone,Maize,Conventional,866.5,28.4,78.1,5.97,136.7,10.7,4644.6,7.88,1070.7,2864.76
FARM_1021,Rabi (Winter),West Zone,Wheat,Organic,116.6,18.3,54.6,6.04,149.6,4.1,4045.5,6.89,1002.03,2214.12
FARM_1022,Kharif (Monsoon),South Zone,Cotton,Conventional,780.1,24.9,80.1,6.26,115.6,5.9,2914.3,7.07,871.98,2030.78
FARM_1023,Kharif (Monsoon),West Zone,Cotton,Hydroponic,780.5,24.9,80.2,8.2,130.3,10.6,2949.6,7.43,977.65,2878.85
FARM_1024,Rabi (Winter),East Zone,Mustard,Organic,214.3,16.5,67.0,6.22,143.1,11.8,5116.9,6.92,1168.51,2279.13
FARM_1025,Rabi (Winter),East Zone,Barley,Organic,234.6,14.2,55.1,6.39,156.5,6.0,5413.9,6.69,1128.87,2706.52
FARM_1026,Zaid (Summer),East Zone,Cucumber,Conventional,102.1,34.6,40.4,7.28,191.3,5.9,3962.4,4.75,1073.83,1592.71
FARM_1027,Kharif (Monsoon),North Zone,Rice,Precision Farming,599.5,26.4,82.8,6.29,139.5,12.0,4958.8,7.37,1141.89,2804.08
FARM_1028,Rabi (Winter),West Zone,Wheat,Organic,247.2,17.2,41.7,6.08,120.3,8.2,3950.5,6.46,1003.59,2658.54
FARM_1029,Rabi (Winter),West Zone,Mustard,Conventional,93.8,17.9,64.4,5.93,164.4,6.3,3476.1,6.86,1015.25,2546.17
FARM_1030,Kharif (Monsoon),Central Zone,Rice,Organic,945.6,29.4,86.5,6.34,154.0,11.1,4757.4,8.32,1119.43,2811.23
FARM_1031,Rabi (Winter),Central Zone,Chickpea,Precision Farming,121.2,18.1,50.8,5.79,133.3,9.8,3121.1,6.62,962.22,2379.47
FARM_1032,Kharif (Monsoon),Central Zone,Pulses,Conventional,809.3,25.0,78.3,5.55,157.0,10.3,6772.5,8.29,1314.96,2951.92
FARM_1033,Kharif (Monsoon),East Zone,Rice,Precision Farming,845.8,26.9,79.2,7.67,126.6,6.4,2775.0,7.15,871.84,2587.4
FARM_1034,Autumn,West Zone,Soybean,Hydroponic,332.4,28.7,74.2,5.87,121.4,9.4,4840.6,6.26,1025.88,1881.47
FARM_1035,Autumn,East Zone,Soybean,Organic,360.9,21.2,62.5,7.6,73.5,11.6,4680.3,5.36,992.23,2024.96
FARM_1036,Zaid (Summer),North Zone,Watermelon,Precision Farming,54.5,33.0,43.4,7.65,128.5,10.1,4573.8,4.46,1038.76,1339.37
FARM_1037,Kharif (Monsoon),Central Zone,Cotton,Organic,610.9,33.1,86.0,6.95,78.3,10.8,6280.1,6.61,1090.09,1864.33
FARM_1038,Kharif (Monsoon),East Zone,Pulses,Precision Farming,921.7,27.8,86.1,6.34,117.6,12.0,1276.5,7.74,829.24,2844.21
FARM_1039,Rabi (Winter),East Zone,Barley,Conventional,177.6,22.4,54.5,5.89,160.3,9.6,4994.1,6.52,1203.28,1932.32
FARM_1040,Rabi (Winter),North Zone,Mustard,Precision Farming,221.6,22.7,59.1,7.49,87.3,7.1,4171.9,6.31,953.26,2447.38
FARM_1041,Kharif (Monsoon),South Zone,Maize,Organic,1038.4,26.7,74.2,7.12,133.4,10.7,5200.8,7.37,1082.2,2957.1
FARM_1042,Rabi (Winter),West Zone,Barley,Organic,162.9,17.8,53.4,7.27,142.3,5.7,4565.6,7.39,1036.74,3046.62
FARM_1043,Kharif (Monsoon),South Zone,Rice,Conventional,1032.4,28.5,81.3,5.52,131.6,7.9,4410.0,7.97,1023.3,2973.02
FARM_1044,Autumn,Central Zone,Jute,Conventional,273.8,27.6,69.9,8.0,123.2,10.0,3051.2,5.93,906.0,2060.57
FARM_1045,Kharif (Monsoon),East Zone,Cotton,Organic,981.0,26.5,86.5,5.68,151.4,1.0,3692.2,8.22,939.18,2707.01
FARM_1046,Rabi (Winter),North Zone,Chickpea,Conventional,223.6,21.4,48.5,6.49,156.2,9.1,8257.8,6.9,1397.74,2406.23
FARM_1047,Kharif (Monsoon),North Zone,Pulses,Organic,729.7,26.9,77.2,6.59,140.1,9.2,5211.7,7.09,1106.74,2174.14
FARM_1048,Rabi (Winter),West Zone,Barley,Conventional,147.2,20.5,57.3,5.5,125.1,5.7,5763.1,5.91,1063.02,1943.08
FARM_1049,Rabi (Winter),South Zone,Barley,Precision Farming,158.1,17.0,54.4,6.84,170.3,9.3,4077.7,7.21,1082.29,2743.48
FARM_1050,Kharif (Monsoon),West Zone,Maize,Conventional,969.5,22.0,79.9,7.53,94.1,9.0,3473.3,7.6,905.14,2359.34
FARM_1051,Autumn,East Zone,Groundnut,Organic,323.0,27.4,57.9,7.72,164.1,8.6,5431.7,6.25,1180.49,1981.06
FARM_1052,Zaid (Summer),West Zone,Sunflower,Conventional,38.7,36.8,21.0,7.87,154.7,11.5,2215.5,4.26,964.62,1639.7
FARM_1053,Autumn,North Zone,Soybean,Organic,406.6,25.7,75.9,6.82,147.0,10.7,3719.1,6.24,1047.19,1902.56
FARM_1054,Autumn,North Zone,Sugarcane,Hydroponic,213.0,23.7,48.1,7.2,139.7,10.1,4074.5,5.41,1041.64,1701.04
FARM_1055,Rabi (Winter),Central Zone,Chickpea,Organic,118.2,17.3,39.3,5.71,73.9,5.9,5634.0,5.25,988.58,1482.9
FARM_1056,Autumn,Central Zone,Groundnut,Precision Farming,268.4,19.0,63.2,6.82,188.6,8.5,4996.5,6.11,1155.18,2326.73
FARM_1057,Kharif (Monsoon),East Zone,Rice,Hydroponic,1022.1,27.9,88.3,5.92,169.4,11.5,3932.5,8.19,1085.15,3001.69
FARM_1058,Kharif (Monsoon),South Zone,Pulses,Precision Farming,967.9,32.0,76.2,6.5,106.4,8.0,4942.8,8.05,1059.58,3036.57
FARM_1059,Kharif (Monsoon),West Zone,Pulses,Conventional,731.6,29.0,72.1,6.39,166.6,12.4,4136.2,7.07,1146.62,2191.74
FARM_1060,Kharif (Monsoon),East Zone,Rice,Precision Farming,920.7,27.0,86.6,6.64,146.6,10.2,5784.0,7.81,1204.47,2938.38
FARM_1061,Rabi (Winter),Central Zone,Wheat,Hydroponic,177.2,22.4,49.0,7.04,119.6,12.8,4783.4,6.56,1091.35,2384.51
FARM_1062,Kharif (Monsoon),West Zone,Cotton,Conventional,1007.2,32.3,79.8,7.94,181.7,5.8,6583.7,9.15,1298.58,3031.0
FARM_1063,Zaid (Summer),Central Zone,Cucumber,Conventional,45.2,32.8,52.4,6.57,124.9,8.1,4166.6,3.87,985.33,1320.81
FARM_1064,Rabi (Winter),West Zone,Mustard,Conventional,257.4,14.1,46.5,8.15,187.5,8.3,5970.5,6.8,1245.28,2444.66
FARM_1065,Kharif (Monsoon),South Zone,Rice,Conventional,988.2,25.7,85.1,7.55,158.7,10.0,4608.5,8.38,1122.66,2925.13
FARM_1066,Rabi (Winter),East Zone,Wheat,Conventional,168.6,17.9,58.5,6.88,173.5,6.7,3663.3,7.03,991.51,2600.09
FARM_1067,Kharif (Monsoon),West Zone,Pulses,Conventional,907.0,27.5,71.2,7.24,160.3,4.5,7621.9,7.85,1281.22,2396.9
FARM_1068,Zaid (Summer),North Zone,Vegetables,Organic,63.6,39.7,23.9,5.78,158.6,9.4,6071.7,4.56,1229.92,1621.99
FARM_1069,Kharif (Monsoon),North Zone,Cotton,Organic,705.1,29.3,80.2,7.78,147.5,7.6,4781.2,7.63,1079.84,2617.39
FARM_1070,Autumn,West Zone,Sugarcane,Organic,332.9,22.9,73.1,7.07,114.6,7.3,5419.2,5.87,1057.86,2022.47
FARM_1071,Zaid (Summer),West Zone,Sunflower,Conventional,60.9,37.1,43.2,8.16,142.2,6.8,3201.6,4.33,983.99,1496.94
FARM_1072,Kharif (Monsoon),West Zone,Pulses,Organic,876.3,29.9,80.9,7.22,172.1,8.8,3243.8,8.54,1052.22,3445.09
FARM_1073,Kharif (Monsoon),North Zone,Maize,Conventional,671.5,31.3,84.1,7.75,165.2,5.8,5836.9,7.5,1218.25,2959.56
FARM_1074,Zaid (Summer),North Zone,Cucumber,Conventional,17.9,33.0,50.4,7.66,157.5,8.0,4505.8,4.33,1088.23,1594.05
FARM_1075,Zaid (Summer),West Zone,Sunflower,Precision Farming,23.5,37.8,38.6,6.43,66.6,6.4,4313.0,3.86,882.38,1467.99
FARM_1076,Zaid (Summer),Central Zone,Cucumber,Organic,86.8,35.0,32.8,6.2,132.5,7.0,4154.5,3.73,1036.68,1066.75
FARM_1077,Zaid (Summer),Central Zone,Watermelon,Organic,66.2,34.9,31.9,6.66,128.9,9.4,4682.5,4.43,1070.86,1701.82
FARM_1078,Kharif (Monsoon),South Zone,Pulses,Precision Farming,1182.8,25.1,68.8,6.76,101.4,10.1,4194.9,7.79,968.42,2711.41
FARM_1079,Rabi (Winter),East Zone,Mustard,Conventional,213.3,15.7,52.6,6.15,171.6,7.7,2061.4,6.5,896.85,2109.15
FARM_1080,Kharif (Monsoon),Central Zone,Cotton,Organic,796.3,26.3,76.2,7.92,69.1,10.9,6199.1,6.75,1094.88,2022.09
FARM_1081,Autumn,North Zone,Groundnut,Precision Farming,220.3,25.2,62.2,6.96,169.3,6.1,4367.3,5.73,1076.47,1664.73
FARM_1082,Rabi (Winter),Central Zone,Chickpea,Precision Farming,179.2,19.9,47.6,8.14,186.5,4.7,6697.8,6.4,1279.6,1832.22
FARM_1083,Kharif (Monsoon),South Zone,Cotton,Conventional,866.3,26.7,75.0,7.69,132.7,5.2,2385.4,7.15,837.85,2163.96
FARM_1084,Kharif (Monsoon),South Zone,Rice,Conventional,953.4,27.6,78.0,7.0,137.4,5.8,2380.7,8.47,904.3,2407.34
FARM_1085,Kharif (Monsoon),East Zone,Cotton,Hydroponic,721.7,24.9,89.9,8.06,173.9,5.2,4169.5,7.37,1032.07,2819.54
FARM_1086,Kharif (Monsoon),Central Zone,Pulses,Conventional,900.1,24.7,81.4,6.86,113.3,13.6,5673.0,7.53,1183.82,2370.49
FARM_1087,Zaid (Summer),North Zone,Watermelon,Conventional,81.2,35.5,53.7,7.9,163.1,4.6,3036.4,4.02,932.49,1333.13
FARM_1088,Rabi (Winter),North Zone,Mustard,Precision Farming,88.3,10.0,57.1,6.47,107.9,10.8,2989.8,6.78,912.71,2679.32
FARM_1089,Autumn,West Zone,Soybean,Conventional,322.1,15.0,60.6,6.52,97.4,8.4,4946.3,5.4,1041.06,1598.68
FARM_1090,Rabi (Winter),North Zone,Mustard,Conventional,109.7,12.4,46.9,6.63,150.4,9.1,4124.6,6.25,1023.69,2481.14
FARM_1091,Kharif (Monsoon),East Zone,Pulses,Conventional,939.4,24.9,75.1,6.98,139.1,6.2,5152.9,8.14,1068.46,3008.02
FARM_1092,Zaid (Summer),East Zone,Vegetables,Precision Farming,27.6,38.8,44.3,6.99,79.8,9.3,4146.1,4.52,934.35,1482.04
FARM_1093,Zaid (Summer),North Zone,Watermelon,Conventional,10.2,32.1,45.3,6.84,189.5,6.2,4962.2,4.44,1192.25,1316.43
FARM_1094,Rabi (Winter),North Zone,Mustard,Conventional,201.3,21.4,52.2,6.33,125.5,10.8,6139.4,6.15,1226.12,1800.78
FARM_1095,Zaid (Summer),West Zone,Watermelon,Conventional,21.4,37.6,37.0,8.0,157.9,11.0,3038.9,5.21,1035.0,1703.52
FARM_1096,Rabi (Winter),North Zone,Chickpea,Organic,152.8,17.3,44.2,7.09,196.2,8.2,5921.7,7.15,1230.95,2142.48
FARM_1097,Rabi (Winter),West Zone,Mustard,Conventional,164.6,18.9,51.6,6.6,148.7,8.3,2455.0,6.55,892.92,2079.49
FARM_1098,Rabi (Winter),West Zone,Chickpea,Precision Farming,168.8,12.5,52.8,7.26,184.6,9.6,5231.2,6.23,1195.52,1790.59
FARM_1099,Kharif (Monsoon),North Zone,Cotton,Conventional,853.9,22.8,79.7,7.57,109.8,9.5,6203.1,7.2,1156.22,2615.77
FARM_1100,Kharif (Monsoon),South Zone,Pulses,Organic,960.0,27.1,79.8,8.09,189.7,11.1,3871.1,7.78,1096.88,2336.63
FARM_1101,Kharif (Monsoon),South Zone,Pulses,Precision Farming,934.4,26.8,78.5,6.85,111.1,11.0,5273.5,7.23,1125.68,2790.36
FARM_1102,Rabi (Winter),West Zone,Barley,Organic,102.9,17.9,52.3,5.8,120.0,8.4,3915.5,5.26,940.5,1633.46
FARM_1103,Kharif (Monsoon),North Zone,Rice,Hydroponic,924.9,29.7,84.0,6.69,89.1,7.3,5202.5,7.67,1034.89,3004.47
FARM_1104,Rabi (Winter),South Zone,Barley,Organic,129.7,9.3,60.9,6.79,149.4,10.5,1789.8,5.98,905.86,1833.37
FARM_1105,Autumn,North Zone,Jute,Conventional,334.5,23.1,68.9,7.92,162.1,8.1,4694.6,5.24,1092.74,1996.39
FARM_1106,Kharif (Monsoon),North Zone,Pulses,Organic,632.7,31.1,78.3,6.57,166.8,8.8,4974.5,7.03,1178.92,2296.21
FARM_1107,Rabi (Winter),North Zone,Wheat,Hydroponic,116.8,15.5,53.1,8.07,89.9,9.8,6113.6,6.19,1112.14,2238.53
FARM_1108,Zaid (Summer),Central Zone,Cucumber,Conventional,59.8,35.1,35.7,6.81,153.1,10.9,5610.3,4.2,1193.86,1198.73
FARM_1109,Kharif (Monsoon),North Zone,Cotton,Organic,880.0,28.0,76.8,8.13,154.4,9.2,4306.5,7.6,1073.87,2654.94
FARM_1110,Kharif (Monsoon),Central Zone,Rice,Conventional,730.3,29.8,82.6,5.52,161.5,7.0,4821.7,7.66,1104.14,2304.25
FARM_1111,Kharif (Monsoon),West Zone,Cotton,Organic,858.6,30.8,70.2,7.93,113.0,13.0,2764.7,7.17,925.53,2495.77
FARM_1112,Kharif (Monsoon),South Zone,Cotton,Organic,765.3,24.5,91.3,8.01,52.3,12.3,6472.9,6.8,1105.49,2038.57
FARM_1113,Autumn,South Zone,Jute,Hydroponic,357.1,24.8,70.5,8.09,164.7,6.0,5329.4,5.97,1126.51,2036.92
FARM_1114,Zaid (Summer),South Zone,Vegetables,Conventional,82.3,38.3,49.2,5.54,134.9,6.2,2266.9,4.1,835.65,1211.5
FARM_1115,Rabi (Winter),South Zone,Chickpea,Precision Farming,139.5,16.0,47.3,5.96,149.8,6.5,4795.2,7.46,1070.26,2318.52
FARM_1116,Autumn,South Zone,Sugarcane,Conventional,340.2,24.5,62.1,7.27,136.7,10.6,4886.8,5.84,1147.9,2121.74
FARM_1117,Zaid (Summer),South Zone,Watermelon,Conventional,50.6,39.4,49.5,5.57,148.2,13.1,3571.3,4.35,1048.11,1812.79
FARM_1118,Kharif (Monsoon),South Zone,Rice,Organic,1124.6,29.6,80.3,5.67,165.8,7.2,4616.2,8.36,1091.84,2866.53
FARM_1119,Autumn,West Zone,Jute,Organic,298.0,21.9,56.2,6.1,75.0,8.9,3450.6,4.09,898.46,1538.68
FARM_1120,Rabi (Winter),North Zone,Chickpea,Precision Farming,170.3,14.3,56.7,6.88,179.9,6.6,2814.5,7.4,972.02,2630.84
FARM_1121,Zaid (Summer),East Zone,Vegetables,Hydroponic,82.3,33.0,60.1,6.97,133.6,12.8,3764.0,4.91,1026.84,1717.37
FARM_1122,Autumn,Central Zone,Jute,Conventional,220.7,28.0,68.0,5.59,196.9,10.6,4705.9,6.63,1185.58,1916.46
FARM_1123,Kharif (Monsoon),East Zone,Rice,Conventional,1029.1,24.7,91.5,5.96,123.9,6.4,5614.0,7.55,1071.03,2266.52
FARM_1124,Kharif (Monsoon),East Zone,Cotton,Conventional,823.2,30.0,87.2,6.85,116.1,3.2,4583.8,7.18,975.52,2898.05
FARM_1125,Kharif (Monsoon),North Zone,Maize,Hydroponic,759.3,30.5,76.1,7.1,134.8,11.1,5625.7,7.46,1139.75,2517.18
FARM_1126,Rabi (Winter),North Zone,Barley,Conventional,205.9,15.0,55.3,5.9,157.5,7.1,5278.4,6.93,1167.53,2536.43
FARM_1127,Zaid (Summer),North Zone,Cucumber,Conventional,66.1,37.4,59.7,6.58,130.4,10.6,3257.5,4.47,970.77,1582.17
FARM_1128,Autumn,South Zone,Jute,Precision Farming,263.8,28.4,78.8,7.94,160.0,9.2,5269.3,5.92,1161.68,1971.62
FARM_1129,Kharif (Monsoon),West Zone,Pulses,Organic,874.9,26.3,71.3,8.2,126.5,3.9,5302.5,7.23,1044.21,2416.95
FARM_1130,Rabi (Winter),South Zone,Chickpea,Organic,225.3,17.0,47.0,8.17,141.2,6.5,6590.2,6.64,1218.47,2375.56
FARM_1131,Rabi (Winter),West Zone,Wheat,Conventional,95.7,14.0,62.4,7.88,218.3,7.6,4992.8,7.67,1224.3,2299.16
FARM_1132,Kharif (Monsoon),West Zone,Cotton,Hydroponic,1008.7,30.0,80.7,6.57,152.5,6.8,3018.4,9.26,943.87,3094.84
FARM_1133,Kharif (Monsoon),East Zone,Maize,Organic,663.2,25.8,74.5,7.35,155.3,8.8,3835.1,7.12,1062.92,2439.15
FARM_1134,Kharif (Monsoon),East Zone,Maize,Conventional,935.9,24.8,76.4,6.62,88.5,9.5,2276.9,7.28,812.36,3042.44
FARM_1135,Autumn,West Zone,Jute,Conventional,285.3,20.0,65.3,7.25,187.4,13.0,5112.6,6.09,1227.01,2004.85
FARM_1136,Kharif (Monsoon),West Zone,Maize,Conventional,833.9,31.6,75.9,6.34,177.3,9.7,6484.8,8.09,1289.98,2995.25
FARM_1137,Rabi (Winter),South Zone,Chickpea,Conventional,98.0,16.5,46.2,7.14,115.0,12.2,1630.6,6.44,798.54,1927.09
FARM_1138,Zaid (Summer),South Zone,Cucumber,Conventional,60.8,29.4,33.9,6.91,176.6,7.3,6535.5,4.5,1290.78,1301.25
FARM_1139,Rabi (Winter),East Zone,Wheat,Conventional,112.9,20.3,48.5,5.57,151.5,11.4,5096.7,5.64,1181.91,2267.37
FARM_1140,Autumn,North Zone,Groundnut,Conventional,161.1,24.4,67.2,7.63,141.6,7.5,3208.1,5.88,933.45,2247.94
FARM_1141,Autumn,West Zone,Groundnut,Conventional,278.3,23.2,60.3,5.53,185.2,6.2,4808.0,6.17,1188.56,2001.86
FARM_1142,Kharif (Monsoon),South Zone,Pulses,Conventional,866.9,25.3,78.4,6.29,122.1,6.1,3246.8,7.27,951.45,2549.16
FARM_1143,Rabi (Winter),East Zone,Barley,Precision Farming,180.0,12.8,54.7,5.52,114.7,1.9,5028.5,5.93,981.97,1773.09
FARM_1144,Kharif (Monsoon),South Zone,Cotton,Organic,581.7,28.7,75.1,6.52,147.3,10.6,4576.0,7.18,1092.83,2721.24
FARM_1145,Kharif (Monsoon),West Zone,Pulses,Precision Farming,1002.9,23.6,82.2,5.67,158.5,5.3,4895.2,7.8,1095.67,2260.8
FARM_1146,Kharif (Monsoon),West Zone,Cotton,Precision Farming,1033.2,24.9,75.7,7.97,173.8,12.0,3397.3,8.09,1062.48,3122.62
FARM_1147,Rabi (Winter),Central Zone,Mustard,Conventional,112.2,16.1,59.1,6.62,134.7,8.1,3572.0,5.84,994.03,2082.29
FARM_1148,Rabi (Winter),North Zone,Barley,Conventional,127.3,13.5,38.8,6.74,110.3,4.6,5102.2,5.8,1015.32,1850.43
FARM_1149,Kharif (Monsoon),Central Zone,Cotton,Conventional,1090.3,33.0,82.8,6.44,228.5,5.7,3896.7,9.41,1146.27,3771.16
FARM_1150,Kharif (Monsoon),East Zone,Pulses,Organic,728.4,30.2,84.7,7.19,102.0,9.0,4678.8,6.31,1050.75,2637.9
FARM_1151,Autumn,South Zone,Sugarcane,Conventional,279.7,25.1,73.6,7.62,141.9,3.8,5043.6,6.18,1042.18,1950.46
FARM_1152,Kharif (Monsoon),East Zone,Rice,Organic,603.9,31.0,78.5,7.25,167.3,10.0,4233.2,6.85,1097.89,2691.19
FARM_1153,Kharif (Monsoon),West Zone,Rice,Conventional,683.1,24.9,75.7,7.52,180.3,4.7,5886.1,7.7,1219.09,2964.68
FARM_1154,Rabi (Winter),Central Zone,Mustard,Precision Farming,101.6,25.1,58.9,7.95,120.1,6.7,4277.3,6.24,979.85,2399.95
FARM_1155,Autumn,Central Zone,Jute,Conventional,385.2,26.7,65.4,7.83,74.4,9.0,4241.3,5.54,963.22,2293.63
FARM_1156,Kharif (Monsoon),Central Zone,Rice,Precision Farming,861.2,26.8,78.4,7.32,119.3,9.7,3742.0,7.69,1000.21,2677.09
FARM_1157,Rabi (Winter),East Zone,Chickpea,Conventional,93.7,22.3,40.5,6.08,170.1,10.5,5748.0,6.67,1234.61,2497.14
FARM_1158,Zaid (Summer),West Zone,Watermelon,Precision Farming,38.8,41.0,41.4,7.22,162.3,5.2,3651.4,4.34,960.84,1715.79
FARM_1159,Kharif (Monsoon),South Zone,Rice,Conventional,876.7,29.9,72.3,6.87,163.5,7.7,6005.4,8.16,1188.35,2832.62
FARM_1160,Zaid (Summer),South Zone,Vegetables,Organic,32.1,33.7,31.0,7.44,164.9,11.2,4695.7,4.53,1147.65,1573.72
FARM_1161,Rabi (Winter),East Zone,Barley,Conventional,147.0,19.9,66.1,7.75,186.9,7.7,7718.5,6.88,1404.75,2233.33
FARM_1162,Rabi (Winter),Central Zone,Barley,Organic,182.4,14.0,52.0,7.51,112.8,9.2,3707.4,6.36,982.59,2476.05
FARM_1163,Rabi (Winter),North Zone,Mustard,Conventional,124.1,13.9,45.0,7.79,98.1,8.9,6030.2,5.78,1111.48,2173.67
FARM_1164,Rabi (Winter),East Zone,Mustard,Hydroponic,216.6,18.0,53.2,5.67,153.0,11.8,5112.3,6.51,1157.58,2233.97
FARM_1165,Kharif (Monsoon),East Zone,Rice,Organic,922.6,29.6,85.6,5.59,103.3,7.3,3883.5,7.1,931.83,2404.82
FARM_1166,Zaid (Summer),West Zone,Vegetables,Conventional,45.1,36.2,30.9,6.2,95.9,5.0,5128.4,4.05,993.54,1175.16
FARM_1167,Kharif (Monsoon),South Zone,Rice,Precision Farming,821.5,28.2,80.8,7.93,182.8,6.1,5069.9,7.57,1183.77,2126.49
FARM_1168,Kharif (Monsoon),East Zone,Pulses,Precision Farming,866.5,30.4,77.0,7.72,148.8,9.0,4101.7,8.12,1078.56,2874.85
FARM_1169,Kharif (Monsoon),East Zone,Pulses,Conventional,877.3,25.7,94.6,7.34,141.0,4.6,5013.9,7.42,1039.79,2511.29
FARM_1170,Rabi (Winter),Central Zone,Barley,Conventional,113.5,15.2,62.1,7.39,141.7,7.1,5896.1,5.5,1171.54,2152.95
FARM_1171,Rabi (Winter),Central Zone,Barley,Conventional,132.8,21.5,56.2,7.46,136.3,8.7,5113.6,6.6,1091.59,2349.41
FARM_1172,Kharif (Monsoon),North Zone,Pulses,Conventional,789.5,25.7,76.1,8.05,182.6,6.6,3997.0,6.77,1060.93,2783.41
FARM_1173,Rabi (Winter),West Zone,Barley,Precision Farming,134.3,17.3,48.3,7.75,87.0,9.3,3929.4,5.34,953.51,1641.83
FARM_1174,Kharif (Monsoon),North Zone,Maize,Hydroponic,833.6,24.7,83.8,7.18,85.5,10.3,4395.1,7.89,975.33,3302.92
FARM_1175,Rabi (Winter),Central Zone,Mustard,Precision Farming,187.9,15.2,48.9,7.3,107.2,9.6,5835.0,6.59,1138.25,2120.06
FARM_1176,Kharif (Monsoon),South Zone,Cotton,Precision Farming,876.7,31.8,87.4,6.08,150.1,4.6,3595.5,8.13,974.12,3007.61
FARM_1177,Rabi (Winter),Central Zone,Chickpea,Organic,93.9,22.0,54.5,7.27,203.2,8.7,4970.6,6.69,1216.17,2343.24
FARM_1178,Rabi (Winter),West Zone,Wheat,Precision Farming,148.3,20.0,51.2,6.65,170.4,8.9,2625.0,6.8,980.14,2246.32
FARM_1179,Autumn,Central Zone,Jute,Precision Farming,387.7,29.3,75.2,5.91,160.7,7.5,5213.5,6.63,1151.06,1985.71
FARM_1180,Kharif (Monsoon),West Zone,Cotton,Organic,573.4,27.3,70.3,7.68,137.2,9.3,5402.1,7.13,1117.53,2130.99
FARM_1181,Kharif (Monsoon),West Zone,Rice,Precision Farming,735.2,20.8,82.3,6.88,93.4,9.2,6933.1,7.24,1192.77,2748.38
FARM_1182,Kharif (Monsoon),West Zone,Cotton,Conventional,882.9,26.7,76.0,8.14,158.0,8.3,5610.4,8.48,1168.43,2822.74
FARM_1183,Autumn,West Zone,Sugarcane,Conventional,325.1,22.0,57.4,6.26,210.9,6.0,4018.6,6.82,1101.61,2827.45
FARM_1184,Autumn,West Zone,Groundnut,Precision Farming,203.8,24.4,60.9,6.8,131.6,8.4,2658.5,4.99,917.85,1624.7
